City Feature,Common Name,Address,Website,Longitude,Latitude
Hospitals,Navos,2600 SW Holden St,http://www.navos.org,-122.366238,47.534193
Hospitals,Veterans Hospital,1660 S Columbian Way,http://www.puget-sound.med.va.gov/,-122.309169,47.562454
Hospitals,Seattle Cancer Care Alliance,825 Eastlake Ave E,http://www.seattlecca.org/,-122.329651,47.626672
Hospitals,Swedish Medical Center - Ballard,5300 Tallman Ave NW,http://www.swedish.org/body.cfm?id=2052,-122.380473,47.668019
Hospitals,Swedish Medical Center - Cherry Hill,500 17th Ave,http://www.swedish.org/body.cfm?id=2030,-122.311131,47.607411
Hospitals,Swedish Medical Center - First Hill,747 Broadway,http://www.swedish.org/,-122.321928,47.608842
Hospitals,Kindred Hospital Seattle,10631 8th Ave,http://www.kindredhospitalseattle.com,-122.345039,47.507575
Hospitals,Group Health Hospital,201 16th Ave E,http://www.ghc.org/locations/medcenters/3/index.jhtml,-122.311817,47.619195
Hospitals,Virginia Mason Hospital,1100 9th Ave,https://www.virginiamason.org/home/,-122.32793,47.60953
Hospitals,Northwest Hospital & Medical Center,1550 N. 115th Street,http://www.nwhospital.org,-122.336888,47.714248
Hospitals,Seattle Children'S,4800 Sand Point Wy NE,http://www.seattlechildrens.org,-122.282298,47.661131
Hospitals,Harborview Medical Center,325 9th Ave,http://www.uwmedicine.org/facilities/harborview,-122.323769,47.603993
Hospitals,University Of Washington Medical Center,1959 NE Pacific St,http://www.uwmedicine.org/facilities/uwmedicalcenter,-122.309072,47.650344
