FEATUREITEM_ID,City Feature,Common Name,Address,Website,Longitude,Latitude,Location
,Light Rail,University Street Station,,http://www.soundtransit.org/x1182.xml,-122.33602,47.60781,"(47.60781, -122.33602)"
,Light Rail,International District Station,,http://www.soundtransit.org/x1185.xml,-122.327992,47.598355,"(47.598355, -122.327992)"
,Light Rail,Stadium Station,,http://www.soundtransit.org/x1491.xml,-122.327172,47.591108,"(47.591108, -122.327172)"
,Light Rail,Beacon Hill Station,,http://www.soundtransit.org/x1584.xml,-122.311533,47.579328,"(47.579328, -122.311533)"
,Light Rail,Columbia City Station,,http://www.soundtransit.org/x1607.xml,-122.292692,47.559733,"(47.559733, -122.292692)"
,Light Rail,Rainier Beach Station,,http://www.soundtransit.org/x1606.xml,-122.279391,47.522394,"(47.522394, -122.279391)"
,Light Rail,Tukwila International Blvd Station,,http://www.soundtransit.org/x1647.xml,-122.287996,47.464031,"(47.464031, -122.287996)"
,Light Rail,Westlake Station,,http://www.soundtransit.org/x1179.xml,-122.33672,47.611572,"(47.611572, -122.33672)"
,Light Rail,Pioneer Square Station,,http://www.soundtransit.org/x1183.xml,-122.331216,47.60256,"(47.60256, -122.331216)"
,Light Rail,Sodo Station,,http://www.soundtransit.org/x1493.xml,-122.32739,47.581074,"(47.581074, -122.32739)"
,Light Rail,Mount Baker Station,,http://www.soundtransit.org/x1605.xml,-122.297679,47.57655,"(47.57655, -122.297679)"
,Light Rail,Othello Station,,http://www.soundtransit.org/x1603.xml,-122.281563,47.537987,"(47.537987, -122.281563)"
,Light Rail,Airport / Seatac Station,,http://www.soundtransit.org/x1173.xml,-122.296898,47.445381,"(47.445381, -122.296898)"
