Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.685762,-122.32343,Banner Way Triangles,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4073,"(47.685762, -122.32343)"
47.646349,-122.332567,Waterway 19,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4083,"(47.646349, -122.332567)"
47.589165,-122.30566,Atlantic Street Park,,Parks,S ATLANTIC ST\21ST AVE S,http://www.seattle.gov/parks/park_detail.asp?ID=4243,"(47.589165, -122.30566)"
47.709155,-122.315554,Victory Creek Park,,Parks,1059 NORTHGATE WAY,http://www.seattle.gov/parks/park_detail.asp?ID=4443,"(47.709155, -122.315554)"
47.524762,-122.33989,Westcrest Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=468,"(47.524762, -122.33989)"
47.672596,-122.313074,Cowen Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=483,"(47.672596, -122.313074)"
47.71911,-122.295875,Lake City Park,,Parks,12359 LAKE CITY WAY NE,http://www.seattle.gov/parks/park_detail.asp?ID=487,"(47.71911, -122.295875)"
47.641586,-122.34338,Westlake Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=494,"(47.641586, -122.34338)"
47.570461,-122.295537,York Park,,Parks,3650 RENTON AVE SOUTH,http://www.seattle.gov/parks/park_detail.asp?ID=580,"(47.570461, -122.295537)"
47.659309,-122.319072,Christie Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=595,"(47.659309, -122.319072)"
47.627746,-122.349245,Ward Springs Park,,Parks,925 4TH AVE N,http://www.seattle.gov/parks/park_detail.asp?ID=763,"(47.627746, -122.349245)"
47.514542,-122.39438,Endolyne Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=1653,"(47.514542, -122.39438)"
47.63115,-122.322174,St Marks Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=2848,"(47.63115, -122.322174)"
47.647741,-122.324917,Fairview Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=2975,"(47.647741, -122.324917)"
47.632017,-122.283837,Lambert Place,,Parks,38TH AVE E / E MADISON ST,http://www.seattle.gov/parks/park_detail.asp?ID=3096,"(47.632017, -122.283837)"
47.617013,-122.319134,Cal Anderson Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3102,"(47.617013, -122.319134)"
47.65205,-122.360602,West Ewing Mini Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3694,"(47.65205, -122.360602)"
47.607709,-122.296568,Gerber Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3759,"(47.607709, -122.296568)"
47.636741,-122.329689,Terry Pettus Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3889,"(47.636741, -122.329689)"
47.666216,-122.358092,Cascade Place,,Parks,5199 PALMER CT NW,http://www.seattle.gov/parks/park_detail.asp?ID=3902,"(47.666216, -122.358092)"
47.618382,-122.347411,Tilikum Place,,Parks,5TH AVE & DENNY WAY,http://www.seattle.gov/parks/park_detail.asp?ID=3909,"(47.618382, -122.347411)"
47.60042,-122.324494,Kobe Terrace,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3915,"(47.60042, -122.324494)"
47.577122,-122.310563,Stevens Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3919,"(47.577122, -122.310563)"
47.582697,-122.294616,College Street Park,,Parks,2915 S COLLEGE ST,http://www.seattle.gov/parks/park_detail.asp?ID=3922,"(47.582697, -122.294616)"
47.573282,-122.282492,Sierra Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3928,"(47.573282, -122.282492)"
47.519093,-122.261484,Fletcher Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3948,"(47.519093, -122.261484)"
47.606778,-122.342196,Waterfront Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3973,"(47.606778, -122.342196)"
47.629656,-122.355466,Highland Place,,Parks,HIGHLAND DR / 1ST AVE N,http://www.seattle.gov/parks/park_detail.asp?ID=3979,"(47.629656, -122.355466)"
47.693703,-122.381394,Crown Hill Glen,,Parks,8735 19TH AVE NW,http://www.seattle.gov/parks/park_detail.asp?ID=4070,"(47.693703, -122.381394)"
47.592857,-122.314435,Lewis Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4076,"(47.592857, -122.314435)"
47.590365,-122.285724,South Day Street Park,,Parks,1400 LAKESIDE AVE S,http://www.seattle.gov/parks/park_detail.asp?ID=4082,"(47.590365, -122.285724)"
47.55437,-122.366001,Greg Davis Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4157,"(47.55437, -122.366001)"
47.672185,-122.406561,Northwest 60th Viewpoint,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4161,"(47.672185, -122.406561)"
47.589982,-122.297816,Sam Smith Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4242,"(47.589982, -122.297816)"
47.591919,-122.312163,Taejon Park,,Parks,1144 STURGUS AVE S,http://www.seattle.gov/parks/park_detail.asp?ID=4400,"(47.591919, -122.312163)"
47.650088,-122.348825,A. B. Ernst Park,,Parks,723 N 35TH ST,http://www.seattle.gov/parks/park_detail.asp?ID=4404,"(47.650088, -122.348825)"
47.662559,-122.303161,Ravenna Woods,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4411,"(47.662559, -122.303161)"
47.554207,-122.28455,Hitts Hill Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4413,"(47.554207, -122.28455)"
47.54499,-122.321583,Oxbow Park,,Parks,6430 Corson Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=4416,"(47.54499, -122.321583)"
47.661108,-122.356671,Fremont Peak Park,,Parks,4351 PALATINE AVE N,http://www.seattle.gov/parks/park_detail.asp?ID=4424,"(47.661108, -122.356671)"
47.674186,-122.379116,Ballard Corners Park,,Parks,17th Ave NW & NW 63rd St,http://www.seattle.gov/parks/park_detail.asp?ID=4428,"(47.674186, -122.379116)"
47.632602,-122.387681,Smith Cove Park,,Parks,23RD AVE W / W MARINA PL,http://www.seattle.gov/parks/park_detail.asp?ID=4433,"(47.632602, -122.387681)"
47.639083,-122.276119,Madison Park North Beach,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4441,"(47.639083, -122.276119)"
47.714186,-122.308222,Pinehurst Pocket Park,,Parks,11700 19TH AVE NE,http://www.seattle.gov/parks/park_detail.asp?ID=4444,"(47.714186, -122.308222)"
47.634898,-122.323409,I-5 Colonnade,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4446,"(47.634898, -122.323409)"
47.536413,-122.390347,Solstice Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=4453,"(47.536413, -122.390347)"
47.603132,-122.318981,Horiuchi Park,,Parks,156 BOREN AVE,http://www.seattle.gov/parks/park_detail.asp?ID=43,"(47.603132, -122.318981)"
47.633353,-122.373209,Sw Queen Anne Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=234,"(47.633353, -122.373209)"
47.703194,-122.381198,Blue Ridge Places,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=239,"(47.703194, -122.381198)"
47.692105,-122.403269,Golden Gardens Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=243,"(47.692105, -122.403269)"
47.66197,-122.401004,Kiwanis Memorial Preserve Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=246,"(47.66197, -122.401004)"
47.679517,-122.382145,Salmon Bay Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=249,"(47.679517, -122.382145)"
47.583406,-122.395546,Duwamish Head Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=260,"(47.583406, -122.395546)"
47.604695,-122.287835,Leschi-Lake Dell Natural Area,,Parks,3525 E TERRACE ST,http://www.seattle.gov/parks/park_detail.asp?ID=263,"(47.604695, -122.287835)"
47.608657,-122.345238,Piers 62 And 63,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=274,"(47.608657, -122.345238)"
47.639775,-122.352314,Wolf Creek Ravine Natural Area,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=278,"(47.639775, -122.352314)"
47.636418,-122.373243,Twelfth West And W Howe Park,,Parks,12th Ave W / W Howe St,http://www.seattle.gov/parks/park_detail.asp?ID=281,"(47.636418, -122.373243)"
47.586761,-122.318448,East Duwamish Greenbelt,,Parks,1827 11TH AVE SOUTH,http://www.seattle.gov/parks/park_detail.asp?ID=283,"(47.586761, -122.318448)"
47.668907,-122.344218,Woodland Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=292,"(47.668907, -122.344218)"
47.625169,-122.293173,3001 E Madison,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=296,"(47.625169, -122.293173)"
47.667976,-122.384972,Marvins Garden,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=298,"(47.667976, -122.384972)"
47.630425,-122.348402,Bhy Kracke Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=304,"(47.630425, -122.348402)"
47.681711,-122.331029,Green Lake Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=307,"(47.681711, -122.331029)"
47.660498,-122.416228,Discovery Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=310,"(47.660498, -122.416228)"
47.721559,-122.326993,Northacres Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=361,"(47.721559, -122.326993)"
47.62205,-122.284731,Lakeview Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=365,"(47.62205, -122.284731)"
47.63561,-122.276692,Madison Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=369,"(47.63561, -122.276692)"
47.646019,-122.301265,East Montlake Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=374,"(47.646019, -122.301265)"
47.652204,-122.322489,South Passage Point Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=377,"(47.652204, -122.322489)"
47.627081,-122.325708,Summit Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=383,"(47.627081, -122.325708)"
47.618021,-122.29294,William Grose Park,,Parks,1814 30TH AVE E,http://www.seattle.gov/parks/park_detail.asp?ID=385,"(47.618021, -122.29294)"
47.600705,-122.307463,Pratt Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=390,"(47.600705, -122.307463)"
47.599506,-122.290256,Leschi Park,,Parks,100 LAKESIDE AV S,http://www.seattle.gov/parks/park_detail.asp?ID=392,"(47.599506, -122.290256)"
