SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8527 Densmore Ave N,Seattle,WA,98103,679000,2,2,Green Lake,1340,5001,1940,1,507,,Active,February-24-2018 11:00 AM,February-24-2018 01:00 PM,http://www.redfin.com/WA/Seattle/8527-Densmore-Ave-N-98103/home/104616,NWMLS,1246172,N,Y,47.6913554,-122.3383979
MLS Listing,,Townhouse,115 W Comstock St,Seattle,WA,98119,1495000,3,2.5,Queen Anne,2123,64256,1998,1,704,674,Active,February-24-2018 11:00 AM,February-24-2018 01:00 PM,http://www.redfin.com/WA/Seattle/115-W-Comstock-St-98119/unit-115/home/144902948,NWMLS,1247570,N,Y,47.630316,-122.3585495
MLS Listing,,Townhouse,100 W Highland Dr #115,Seattle,WA,98119,1495000,3,2.5,Queen Anne,2123,64256,1998,1,704,674,Active,February-24-2018 11:00 AM,February-24-2018 01:00 PM,http://www.redfin.com/WA/Seattle/100-W-Highland-Dr-98119/unit-115/home/64056,NWMLS,1247390,N,Y,47.6300825,-122.3587157
MLS Listing,,Single Family Residential,445 SW 111th St,Seattle,WA,98146,599000,3,2.5,Shorewood,2420,3600,2015,4,248,70,Active,,,http://www.redfin.com/WA/Seattle/445-SW-111th-St-98146/home/55551032,NWMLS,1245024,N,Y,47.5041025,-122.3404658
MLS Listing,,Single Family Residential,2465 S Edmunds St,Seattle,WA,98108,645000,4,1.75,Beacon Hill,2620,5115,1954,5,246,,Active,,,http://www.redfin.com/WA/Seattle/2465-S-Edmunds-St-98108/home/478498,NWMLS,1243350,N,Y,47.5593604,-122.3016411
MLS Listing,,Single Family Residential,4523 SW Hill St,Seattle,WA,98116,970000,4,1.75,North Admiral,2180,3120,1930,5,445,,Active,,,http://www.redfin.com/WA/Seattle/4523-SW-Hill-St-98116/home/331669,NWMLS,1245679,N,Y,47.5852479,-122.3901649
MLS Listing,,Condo/Co-op,1760 NW 56th St #601,Seattle,WA,98107,550000,1,1,Ballard,763,23398,2016,5,721,286,Active,,,http://www.redfin.com/WA/Seattle/1760-NW-56th-St-98107/unit-601/home/81073322,NWMLS,1245127,N,Y,47.6696482,-122.3815724
MLS Listing,,Townhouse,6498 SW Stevens St,Seattle,WA,98116,850000,3,2.25,Alki,1540,1297,2015,5,552,,Active,,,http://www.redfin.com/WA/Seattle/6498-SW-Stevens-St-98116/home/69356428,NWMLS,1244621,N,Y,47.57708934,-122.4161183
MLS Listing,,Condo/Co-op,1120 8th Ave #1203,Seattle,WA,98101,849900,3,1.75,First Hill,1305,14422,1970,6,651,603,Active,,,http://www.redfin.com/WA/Seattle/1120-8th-Ave-98101/unit-1203/home/49695,NWMLS,1244764,N,Y,47.609287,-122.329259
MLS Listing,,Single Family Residential,7117 31st Ave SW,Seattle,WA,98126,650000,4,2.5,Westwood,1850,5040,1930,6,351,,Active,,,http://www.redfin.com/WA/Seattle/7117-31st-Ave-SW-98126/home/473106,NWMLS,1244547,N,Y,47.5386073,-122.372852
MLS Listing,,Townhouse,725 N 94th St Unit B,Seattle,WA,98103,625000,3,2.5,Greenwood,1540,1157,2009,6,406,,Active,,,http://www.redfin.com/WA/Seattle/725-N-94th-St-98103/unit-B/home/22808380,NWMLS,1243325,N,Y,47.6965781,-122.3488648
MLS Listing,,Condo/Co-op,2911 2nd Ave #511,Seattle,WA,98121,548000,1,1,Belltown,603,,2008,6,909,380,Active,,,http://www.redfin.com/WA/Seattle/2911-2nd-Ave-98121/unit-511/home/21616595,NWMLS,1244578,N,Y,47.6176091,-122.3523038
MLS Listing,,Condo/Co-op,1125 93rd St #2,Seattle,WA,98103,299000,1,1,Licton Springs,652,9619,1987,7,459,425,Active,,,http://www.redfin.com/WA/Seattle/1125-N-93rd-St-98103/unit-2/home/28624905,NWMLS,1244650,N,Y,47.6961444,-122.3433191
MLS Listing,,Townhouse,224 12th Ave E Unit A,Seattle,WA,98102,1088000,3,2.5,Capitol Hill,2020,1308,2009,13,539,,Active,,,http://www.redfin.com/WA/Seattle/224-12th-Ave-E-98102/unit-A/home/39610689,NWMLS,1241765,N,Y,47.6206603,-122.3166709
MLS Listing,,Condo/Co-op,510 Lakeside Ave S #12,Seattle,WA,98144,630000,2,1.75,Leschi,785,12375,1982,13,803,624,Active,,,http://www.redfin.com/WA/Seattle/510-Lakeside-Ave-S-98144/unit-12/home/25667,NWMLS,1240967,N,Y,47.5974334,-122.2866727
MLS Listing,,Single Family Residential,1021 N 46th St,Seattle,WA,98103,859000,2,1.75,Wallingford,1740,2316,1923,20,494,,Active,,,http://www.redfin.com/WA/Seattle/1021-N-46th-St-98103/home/119098,NWMLS,1239807,N,Y,47.6619496,-122.3450833
MLS Listing,,Single Family Residential,7958 32nd Ave SW,Seattle,WA,98126,849950,5,2.5,Westwood Village,3200,7680,1925,26,266,,Active,February-25-2018 01:00 PM,February-25-2018 03:00 PM,http://www.redfin.com/WA/Seattle/7958-32nd-Ave-SW-98126/home/471865,NWMLS,1235948,N,Y,47.530258,-122.37355
MLS Listing,,Townhouse,3631 Courtland Place S Unit B,Seattle,WA,98144,595000,2,1.75,Mt Baker,1260,670,2016,27,472,110,Active,,,http://www.redfin.com/WA/Seattle/3631-Courtland-Pl-S-98144/unit-B/home/109661015,NWMLS,1236988,N,Y,47.5705974,-122.2873326
MLS Listing,,Townhouse,1318 S Atlantic St,Seattle,WA,98144,749888,2,1.25,Beacon Hill,1090,845,2017,33,688,,Active,February-20-2018 11:00 AM,February-20-2018 01:00 PM,http://www.redfin.com/WA/Seattle/1318-S-Atlantic-St-98144/home/113178822,NWMLS,1234698,N,Y,47.5901353,-122.3152239
MLS Listing,,Condo/Co-op,8001 Sand Point Wy NE Unit C53,Seattle,WA,98115,649900,2,1.75,Sand Point,1353,361500,1974,69,480,654,Active,,,http://www.redfin.com/WA/Seattle/8001-Sand-Point-Way-NE-98115/unit-C53/home/109319767,NWMLS,1225672,N,Y,47.686693,-122.2651844
MLS Listing,,Townhouse,1 Ward St Unit C,Seattle,WA,98109,1340000,2,2.5,Queen Anne,2235,10809,1909,134,600,932,Active,,,http://www.redfin.com/WA/Seattle/1-Ward-St-98109/unit-C/home/21616713,NWMLS,1203527,N,Y,47.6278362,-122.3563414
MLS Listing,,Single Family Residential,10702 19th Ave SW,Seattle,WA,98146,529950,4,2,Shorewood,1840,8573,1929,1,288,,Active,February-21-2018 11:00 AM,February-21-2018 01:00 PM,http://www.redfin.com/WA/Seattle/10702-19th-Ave-SW-98146/home/180060,NWMLS,1247540,N,Y,47.5069329,-122.358749
MLS Listing,,Single Family Residential,1514 NE 68th St,Seattle,WA,98115,675000,3,2,Roosevelt,1360,3060,1919,1,496,,Active,February-21-2018 05:00 PM,February-21-2018 07:00 PM,http://www.redfin.com/WA/Seattle/1514-NE-68th-St-98115/home/310699,NWMLS,1247811,N,Y,47.6777854,-122.3111964
MLS Listing,,Townhouse,5017 37th Ave S Unit A,Seattle,WA,98118,600000,2,1.5,Columbia City,1303,2039,2007,1,460,,Active,,,http://www.redfin.com/WA/Seattle/5017-37th-Ave-S-98118/unit-A/home/172020,NWMLS,1243886,N,Y,47.5565205,-122.2863938
MLS Listing,,Condo/Co-op,1760 N Northlake Wy #321,Seattle,WA,98103,635000,2,1.75,Wallingford,970,,2002,1,655,500,Active,February-21-2018 11:30 AM,February-21-2018 01:30 PM,http://www.redfin.com/WA/Seattle/1760-N-Northlake-Way-98103/unit-321/home/144903576,NWMLS,1241783,N,Y,47.6475623,-122.3370478
MLS Listing,,Condo/Co-op,1200 Howell St #3305,Seattle,WA,98101,1279950,2,2,Denny Triangle,1063,,2019,1,1204,917,Active,,,http://www.redfin.com/WA/Seattle/1200-Howell-St-98101/unit-3305/home/144900835,NWMLS,1247773,N,Y,47.6171177,-122.3307008
MLS Listing,,Condo/Co-op,103 Bellevue Ave E #308,Seattle,WA,98102,400000,1,1,Capitol Hill,538,10996,2003,1,743,394,Active,February-22-2018 10:00 AM,February-22-2018 12:00 PM,http://www.redfin.com/WA/Seattle/103-Bellevue-Ave-E-98102/unit-308/home/2073089,NWMLS,1245028,N,Y,47.6187144,-122.3270677
MLS Listing,,Condo/Co-op,1200 Howell St #3405,Seattle,WA,98101,1299950,2,2,Denny Triangle,1063,,2019,1,1223,917,Active,,,http://www.redfin.com/WA/Seattle/1200-Howell-St-98101/unit-3405/home/144900833,NWMLS,1247723,N,Y,47.6171177,-122.3307008
MLS Listing,,Single Family Residential,7513 55th Place NE,Seattle,WA,98115,1395000,3,2.25,View Ridge,2880,7128,1985,1,484,,Active,February-21-2018 11:00 AM,February-21-2018 01:00 PM,http://www.redfin.com/WA/Seattle/7513-55th-Pl-NE-98115/home/321889,NWMLS,1241237,N,Y,47.6836851,-122.268467
MLS Listing,,Single Family Residential,909 W Emerson St,Seattle,WA,98119,749000,3,1.5,Queen Anne,1720,6875,1920,1,435,,Active,February-20-2018 10:30 AM,February-20-2018 02:00 PM,http://www.redfin.com/WA/Seattle/909-W-Emerson-St-98119/home/130302,NWMLS,1239333,N,Y,47.652348,-122.3700267
MLS Listing,,Single Family Residential,7526 14th Ave SW,Seattle,WA,98106,350000,3,1,Highland Park,1340,4000,1930,1,261,,Active,February-24-2018 01:00 PM,February-24-2018 04:00 PM,http://www.redfin.com/WA/Seattle/7526-14th-Ave-SW-98106/home/161164,NWMLS,1247092,N,Y,47.5347019,-122.3525226
MLS Listing,,Condo/Co-op,2125 1st Ave #1506,Seattle,WA,98121,1448000,2,1.75,Downtown,1233,,1981,1,1174,1289,Active,February-20-2018 11:00 AM,February-20-2018 01:00 PM,http://www.redfin.com/WA/Seattle/2125-1st-Ave-98121/unit-1506/home/53971,NWMLS,1243863,N,Y,47.6121893,-122.3451826
MLS Listing,,Condo/Co-op,654 W Olympic Place #202,Seattle,WA,98119,589950,2,2,Queen Anne,1075,,1968,1,549,535,Active,February-24-2018 01:00 PM,February-24-2018 04:00 PM,http://www.redfin.com/WA/Seattle/654-W-Olympic-Pl-98119/unit-202/home/57166,NWMLS,1247440,N,Y,47.6280102,-122.3662345
MLS Listing,,Single Family Residential,2200 NW 67th St,Seattle,WA,98117,740000,3,1,Loyal Heights,1300,5100,1915,1,569,,Active,,,http://www.redfin.com/WA/Seattle/2200-NW-67th-St-98117/home/163578,NWMLS,1247328,N,Y,47.6778678,-122.3844893
MLS Listing,,Single Family Residential,12541 9th Ave NW,Seattle,WA,98177,1300000,5,2.5,Broadview,3890,8750,1962,1,334,,Active,February-21-2018 12:00 PM,February-21-2018 02:00 PM,http://www.redfin.com/WA/Seattle/12541-9th-Ave-NW-98177/home/290919,NWMLS,1244850,N,Y,47.7208786,-122.3680237
MLS Listing,,Single Family Residential,2802 NW 66th St,Seattle,WA,98117,709000,3,1,Sunset Hill,1960,5900,1945,1,362,,Active,February-21-2018 12:00 PM,February-21-2018 02:00 PM,http://www.redfin.com/WA/Seattle/2802-NW-66th-St-98117/home/165519,NWMLS,1244598,N,Y,47.6767913,-122.3932377
